datetime_beginning_utc,GEN_COAL,GEN_GAS,GEN_HYDRO,GEN_MULTIPLE_FUEL,GEN_NUCLEAR,GEN_OIL,GEN_OTHER,GEN_SOLAR,GEN_WIND,GEN_OTHER_RENEWABLES,STORAGE,GEN_NON_RENEWABLES,GEN_SOLAR_&_WIND
2019-01-01 05:00:00,17096.1,17973.6,2099.6,3.2,34710.3,211.0,33.1,4.4,33.1,521.1,0.0,70024.1,37.5
2019-01-01 06:00:00,17192.6,16787.6,2039.8,3.2,34701.5,211.8,34.1,4.4,34.1,516.3,0.0,68927.6,38.5
2019-01-01 07:00:00,17037.8,16104.1,2054.6,3.2,34689.3,216.8,33.4,4.4,33.4,527.4,0.0,68081.40000000000,37.8
2019-01-01 08:00:00,16940.3,15509.3,2048.7,3.3,34671.3,219.0,33.5,4.4,33.5,551.3,0.0,67373.4,37.9
2019-01-01 09:00:00,16652.0,15266.8,2041.7,3.2,34676.6,221.0,33.1,4.4,33.1,536.5,0.0,66849.5,37.5
2019-01-01 10:00:00,16751.7,15519.2,2042.4,3.2,34679.7,222.3,33.2,4.4,33.2,548.3,0.0,67206.1,37.6
2019-01-01 11:00:00,16768.9,16816.8,2124.5,3.2,34698.6,222.2,32.8,4.4,32.8,549.3,0.0,68539.30000000000,37.200000000000000
2019-01-01 12:00:00,17124.8,16899.6,2163.1,3.2,34707.1,218.5,32.8,4.4,32.8,546.6,0.0,68982.8,37.200000000000000
2019-01-01 13:00:00,17162.2,18414.4,2163.6,3.3,34719.8,223.9,33.2,58.7,33.2,557.4,0.0,70553.5,91.9
2019-01-01 14:00:00,17695.3,20422.1,2357.9,3.3,34700.6,82.4,33.1,122.0,33.1,559.0,0.0,72933.5,155.1
2019-01-01 15:00:00,19096.2,21120.8,2362.8,3.2,34711.2,80.2,32.1,274.8,32.1,548.9,0.0,75040.5,306.90000000000000
2019-01-01 16:00:00,20629.4,21994.6,2196.1,3.2,34725.2,77.6,31.9,388.1,31.9,546.4,0.0,77458.7,420.0
2019-01-01 17:00:00,20584.3,22474.1,2198.7,3.2,34735.1,78.8,33.5,406.6,33.5,533.6,0.0,77905.8,440.1
2019-01-01 18:00:00,19913.3,21834.2,2169.6,4.7,34741.5,78.6,33.8,372.2,33.8,531.2,0.0,76601.40000000000,406.0
2019-01-01 19:00:00,19482.5,22393.2,2172.8,4.7,34742.1,77.5,33.9,209.8,33.9,529.9,0.0,76729.20000000000,243.70000000000000
2019-01-01 20:00:00,19135.2,23264.6,2173.0,4.7,34741.6,77.4,32.3,103.0,32.3,531.3,0.0,77251.10000000000,135.3
2019-01-01 21:00:00,19976.0,24617.0,2577.5,4.7,34759.7,76.5,31.9,24.9,31.9,535.3,0.0,79461.10000000000,56.8
2019-01-01 22:00:00,22397.0,28471.7,3200.4,3.1,34724.3,74.5,34.0,6.9,34.0,519.2,0.0,85701.5,40.9
2019-01-01 23:00:00,23732.6,28704.2,3917.5,3.0,34755.2,72.0,33.2,6.9,33.2,523.5,0.0,87297.2,40.1
2019-01-02 00:00:00,23807.8,28039.3,3979.0,4.7,34757.7,69.7,31.9,6.9,31.9,545.5,0.0,86706.40000000000,38.8
2019-01-02 01:00:00,22523.7,27689.5,3478.2,4.7,34755.0,70.2,32.9,6.9,32.9,537.3,0.0,85071.30000000000,39.8
2019-01-02 02:00:00,23580.1,28585.0,2944.5,4.6,34775.6,72.7,32.2,6.8,32.2,545.6,0.0,87045.60000000000,39.0
2019-01-02 03:00:00,23265.1,25339.6,2163.9,3.2,34765.3,75.3,33.7,6.9,33.7,542.7,0.0,83479.0,40.6
2019-01-02 04:00:00,21536.8,20986.5,2168.5,3.2,34758.2,73.3,32.8,6.9,32.8,535.5,0.0,77387.6,39.700000000000000
2019-01-02 05:00:00,19401.2,21531.8,2082.0,3.2,34770.9,76.2,32.7,6.9,32.7,534.7,0.0,75812.80000000000,39.6
2019-01-02 06:00:00,19327.0,21824.6,2062.3,3.2,34797.6,77.4,31.4,6.9,31.4,528.4,0.0,76058.00000000000,38.3
2019-01-02 07:00:00,19219.8,21718.0,2057.6,3.2,34781.5,79.5,33.2,6.9,33.2,536.1,0.0,75832.0,40.1
2019-01-02 08:00:00,19060.5,21898.5,2035.6,3.3,34793.2,82.8,32.2,6.9,32.2,540.1,0.0,75867.2,39.1
2019-01-02 09:00:00,18718.4,22525.3,2037.5,3.2,34767.0,86.8,32.6,6.9,32.6,539.3,0.0,76130.1,39.5
