datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,MIDATL,-1.147
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,OTHER,-0.017
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,SOUTH,-1.639
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,WEST,-0.229
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RTO,-3.015
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RFC,-1.376
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,MIDATL,-1.167
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,OTHER,-0.026
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,SOUTH,-1.689
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,WEST,-0.230
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RTO,-3.086
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RFC,-1.397
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,MIDATL,-1.158
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,OTHER,-0.017
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,SOUTH,-1.718
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,WEST,-0.230
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RTO,-3.106
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RFC,-1.388
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,MIDATL,-1.158
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,OTHER,-0.018
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,SOUTH,-1.776
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,WEST,-0.229
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RTO,-3.163
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RFC,-1.387
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,MIDATL,-1.170
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,OTHER,-0.017
